name,calories,protein,carbs,fat,diet_tags
name,calories,protein,carbs,fat,diet_tags
Grilled Chicken Salad,350,30,10,15,"high_protein,low_carb"
Vegetable Stir Fry,300,8,30,10,"vegan,vegetarian,low_fat"
Quinoa Bowl,400,12,60,10,"vegetarian,high_fiber"
Salmon with Roasted Vegetables,450,35,20,22,"keto,high_protein"
Tofu Buddha Bowl,380,15,45,12,"vegan,vegetarian,high_fiber"
Greek Yogurt with Berries,220,20,25,2,"vegetarian,high_protein,low_fat"
Avocado Toast,380,12,35,22,"vegetarian,healthy_fats"
Lentil Soup,250,15,40,2,"vegan,vegetarian,low_fat,high_fiber"
Grilled Steak with Sweet Potato,520,40,30,25,"high_protein,paleo"
Cauliflower Rice Bowl,320,8,30,18,"keto,vegan,low_carb"
Egg and Vegetable Frittata,300,20,8,22,"keto,vegetarian,high_protein"
Turkey and Hummus Wrap,420,30,40,12,"high_protein,moderate_carb"
Black Bean Burrito Bowl,550,20,80,15,"vegetarian,high_fiber"
Tuna Salad with Crackers,350,30,25,15,"high_protein,pescatarian"
Chicken Curry with Brown Rice,600,35,70,20,"high_protein,moderate_carb"
Mediterranean Mezze Plate,450,15,50,20,"vegetarian,healthy_fats"
Baked Cod with Quinoa,380,35,35,8,"pescatarian,high_protein,low_fat"
Vegan Chili,320,15,50,5,"vegan,vegetarian,low_fat,high_fiber"
Beef and Broccoli,400,35,20,20,"high_protein,low_carb"
Spinach and Feta Omelette,300,20,5,22,"keto,vegetarian,high_protein"
Chickpea Salad,300,12,40,10,"vegan,vegetarian,high_fiber"
Shrimp and Vegetable Skewers,270,30,15,10,"pescatarian,high_protein,low_carb"
Stuffed Bell Peppers,320,20,30,15,"moderate_protein,moderate_carb"
Zucchini Noodles with Meatballs,400,35,10,25,"keto,high_protein,low_carb"
Mushroom Risotto,450,10,70,15,"vegetarian,high_carb"
